Region,Smokers_pct,ExSmokers_pct,AskedAboutSmoking_pct,AdvisedToQuit_pct,Smoking_Rank,Is_Lazio,Is_Italy
Molise,31.4,18.0,52.7,50.0,1,False,False
Campania,28.4,11.2,31.4,56.7,2,False,False
Umbria,28.2,15.6,33.5,47.1,3,False,False
Aosta Valley,27.2,18.7,25.3,36.4,4,False,False
Lazio,25.3,18.6,44.3,57.5,5,True,False
Piemonte,24.8,21.5,48.9,49.2,6,False,False
Abruzzo,24.6,13.9,23.2,42.2,7,False,False
Liguria,24.2,15.9,34.5,47.6,8,False,False
Puglia,24.1,11.2,22.2,42.6,9,False,False
Italy,23.8,16.8,37.4,50.5,10,False,True
Sicily,23.5,12.1,35.0,52.3,11,False,False
Basilicata,23.4,12.4,33.4,57.8,12,False,False
Emilia Romagna,23.4,19.8,33.0,52.8,13,False,False
Sardinia,23.1,20.0,43.4,53.4,14,False,False
Friuli Venezia Giulia,22.0,23.2,60.2,44.1,15,False,False
Marche,22.0,26.3,49.1,54.7,16,False,False
Calabria,20.9,6.6,16.4,26.6,17,False,False
Province of Bolzano,20.6,24.9,43.5,44.9,18,False,False
Province of Trento,20.5,20.1,44.3,50.9,19,False,False
Tuscany,20.5,16.9,35.2,51.9,20,False,False
Veneto,19.7,21.9,47.1,47.9,21,False,False
Lombardia,,,,,22,False,False
